new_id,nearest_dist,avg_dist_all,avg_dist_100m,avg_dist_500m,avg_dist_1000m,avg_dist_2000m
1,0,13243.07618,3.679711273,184.0880558,448.867537,1006.613891
2,0,23016.45127,0.279165075,132.8800244,361.9123815,909.8816465
3,0,19837.10531,13.58171456,143.132936,429.9503459,931.6999014
4,390.3312389,36619.67549,NA,401.4239416,676.2876066,1029.009565
5,840.1505457,16209.50625,NA,NA,911.280932,1426.376407
6,2.867973323,22266.00515,6.573247454,290.7387042,387.6663211,1018.635992
7,182.8270164,20226.34181,NA,182.8270164,481.7520797,1252.380749
8,10.25168816,22465.81862,10.25168816,10.25168816,654.5169094,654.5169094
9,50.93007905,19131.96842,71.5365172,71.5365172,407.2726401,1086.653462
10,403.8624657,22942.81865,NA,435.6355691,614.8472977,1052.850843
11,502.7340167,23142.74167,NA,NA,771.7276474,1200.142966
12,1013.612259,24766.18604,NA,NA,NA,1560.16874
13,214.3390561,16524.14846,NA,214.3390561,712.5219134,1149.916173
14,48.85439556,18719.01161,48.85439556,193.2722393,533.0796379,1178.764669
15,369.2042951,18180.3153,NA,369.2042951,520.7580219,1249.473217
16,108.0704833,32599.02857,NA,184.0292523,428.2776928,592.0608744
17,127.9626304,39378.60258,NA,270.955155,531.0552317,920.7576109
18,2.867973323,22326.34062,2.867973323,86.7547392,616.8517698,1093.574251
19,31.13006209,17300.13807,31.13006209,225.886273,588.5182316,1042.417529
20,51.765191,17893.27571,51.765191,218.8131123,403.2337446,1242.139141
21,276.5775758,18370.75712,NA,353.4152311,490.605883,1291.482013
22,15.05149265,19850.90869,15.05149265,99.07169866,356.5952848,1239.66804
23,36.79771506,29275.1839,36.79771506,155.3364168,606.4410534,1021.251776
24,152.5772149,19217.94178,NA,243.6180176,524.4804382,1226.035737
25,0,27532.19323,0,149.1523585,513.6781841,879.9976267
26,56.34438743,18241.83141,56.34438743,152.3853105,448.4395801,1186.897947
27,252.9860201,16892.63055,NA,270.5105889,548.825864,1267.410909
28,190.3511682,38535.28534,NA,310.4162714,595.3908026,996.2274728
29,180.8711351,26974.28091,NA,180.8711351,180.8711351,1296.185728
30,0,21116.56664,18.04874281,131.4921566,204.5640297,655.2734912
31,220.4133195,38550.01108,NA,323.3481579,601.9145813,1227.3342
32,225.75916,16425.91209,NA,225.75916,757.757116,1151.143368
33,31.53455449,33577.09437,31.53455449,229.9760345,447.2663233,758.9418877
34,509.5151841,16812.10599,NA,NA,688.8616463,1443.978161
35,75.68340514,32467.35696,75.68340514,144.2150798,289.095431,428.0092979
36,197.6179292,16841.23123,NA,313.6789037,417.3080367,1243.665078
37,0,17128.87835,0,196.0580075,196.0580075,1142.767891
38,191.8230506,22909.48877,NA,191.8230506,490.2931851,1198.805572
39,180.8711351,26906.5318,NA,180.8711351,368.6198208,1358.912635
40,904.0598299,23187.78731,NA,NA,904.0598299,1509.853675
41,293.2748365,21716.8849,NA,302.2433395,524.045801,1190.438095
42,841.5007181,19410.91247,NA,NA,928.1658597,1180.072896
43,377.1458705,17331.06116,NA,377.1458705,627.4229937,1032.326337
44,184.6837665,20673.96893,NA,186.2351328,558.596397,1148.323969
45,1093.929051,29355.59518,NA,NA,NA,1249.126249
46,451.4534501,28347.63955,NA,456.4177803,614.3069473,1314.637557
47,131.4401321,32982.38242,NA,131.4401321,344.7405843,1092.687749
48,237.781245,18601.08077,NA,338.6987887,642.9465979,1077.707216
49,664.5813002,18364.14333,NA,NA,792.5458885,1414.773328
50,3.387464574,31281.93167,3.387464574,3.387464574,3.387464574,1187.713874
51,77.55810761,32741.28182,77.55810761,93.66005978,469.3799407,857.6938715
52,168.5314576,17675.50925,NA,168.5314576,649.8744488,1157.261062
53,124.3134083,18670.73047,NA,264.8279791,264.8279791,1323.214889
54,577.2221594,18686.41994,NA,NA,614.2085103,1292.225854
55,577.2221594,18765.00831,NA,NA,781.9087891,1379.487589
56,241.6392176,17888.32257,NA,362.1512396,561.3340401,1088.86486
57,139.4309114,16280.88211,NA,139.4309114,569.6488165,1349.218337
58,359.8301674,20036.05374,NA,419.1045177,637.0800377,1319.56527
59,65.12279968,16827.11633,65.12279968,234.0031231,234.0031231,1197.822279
60,502.2215868,31599.04459,NA,NA,680.8596606,1178.036392
61,0,15480.37782,0,118.153752,472.9502415,1105.997361
62,483.9593527,20315.40529,NA,483.9593527,646.1091524,1335.028505
63,292.2141401,19583.89683,NA,292.2141401,420.6862869,781.8247152
64,0,18178.20543,0,169.9449927,444.9892119,1121.423979
65,504.0903211,17063.40223,NA,NA,608.0746978,1237.595746
66,12.45637539,19144.34541,32.39912778,145.2867297,496.0849579,993.3833077
67,167.6171056,38739.74741,NA,167.6171056,660.9770119,1106.636052
68,227.6112148,16257.84487,NA,281.7733701,682.139388,999.8875607
69,970.1166142,17593.17853,NA,NA,970.1166142,1540.621714
70,1571.045523,26103.09459,NA,NA,NA,1757.588483
71,411.4773295,21518.2043,NA,411.4773295,411.4773295,1218.115608
72,0,17743.60912,22.94379327,114.929384,471.8000397,897.2265153
73,491.7623515,21314.70065,NA,491.7623515,491.7623515,1285.656761
74,489.3352735,16769.4629,NA,489.3352735,638.5461424,1153.809673
75,444.8208998,25541.37629,NA,444.8208998,545.6478242,1143.043123
76,646.4747487,25658.88768,NA,NA,646.4747487,1385.026278
77,304.633741,16411.48205,NA,335.4354027,573.4274289,1081.348348
78,19.48604389,16563.21552,47.82752605,221.6791073,488.7668874,983.3043006
79,112.8822262,20028.18237,NA,215.0721202,569.0982162,1104.133417
80,190.9187395,33921.66192,NA,273.0940758,455.7134935,849.9939801
81,11.69643831,17219.73227,11.69643831,11.69643831,478.010673,1326.233026
82,330.5649804,17177.32449,NA,330.5649804,571.0701571,894.5992486
83,174.0554542,22733.1577,NA,174.0554542,338.3947355,1392.871808
84,127.6842073,21538.29389,NA,127.6842073,629.1798656,1251.240611
85,330.0056651,21810.74087,NA,330.0056651,330.0056651,1109.977865
86,94.17301981,17947.33756,94.17301981,94.17301981,653.9946568,1070.211575
87,194.3404963,20299.32806,NA,310.0731322,597.9107179,1273.938111
88,95.70597101,17000.37329,95.70597101,240.2838042,355.6094975,1247.694235
89,57.15474705,16120.43975,57.15474705,57.15474705,674.6689191,1227.718061
90,254.5701361,24904.65715,NA,254.5701361,254.5701361,1367.345234
91,217.9969562,18143.41662,NA,350.9933529,350.9933529,973.5704815
92,10.25168816,22715.30746,10.25168816,10.25168816,595.8761912,934.220959
93,347.0625811,19242.82266,NA,395.2861461,619.1138076,1291.579219
94,68.80925084,19746.76946,68.80925084,68.80925084,354.3608312,1331.161714
95,551.3154539,16307.25673,NA,NA,695.2124549,1333.738912
96,44.65732215,18034.49225,44.65732215,147.2656353,519.2753958,1283.632292
97,314.3290473,19320.81704,NA,314.3290473,724.105508,1321.824308
98,24.83373276,18433.71242,24.83373276,24.83373276,443.0625585,1271.271965
99,1108.57498,27414.92078,NA,NA,NA,1536.842966
100,10.27852158,22742.70793,10.27852158,251.3305797,622.3537063,1232.412783
101,187.5239585,19897.84773,NA,209.3940108,640.4082514,1066.533348
102,182.8270164,20437.42823,NA,182.8270164,448.9870994,1380.904781
103,679.4759657,32145.70681,NA,NA,805.4870519,1321.257791
104,246.8278584,16022.40943,NA,246.8278584,573.683856,1356.921608
105,438.1009173,21136.90211,NA,438.1009173,634.3849634,937.5655333
106,834.6150986,18055.90601,NA,NA,871.694169,1405.764233
107,104.4236969,20136.55197,NA,283.5228184,406.6195582,1314.179783
108,17.23597022,21701.15903,17.23597022,149.7346495,405.0243075,1205.602147
109,197.1584194,19437.07634,NA,324.6721418,612.1002273,967.704905
110,742.1226165,17217.02017,NA,NA,859.1266902,1382.869932
111,101.876415,18615.02485,NA,272.1966432,375.9712981,1288.173389
112,75.24396784,17000.09359,75.24396784,304.1106331,543.8246483,1150.327034
113,195.8733125,16968.01187,NA,263.4462419,593.8842113,1242.493436
114,199.5207018,25595.19187,NA,199.5207018,560.2790577,995.9524063
115,455.867512,26853.38048,NA,472.5787861,617.8954545,1208.841938
116,403.8624657,23334.46217,NA,433.7508431,581.3826968,1274.024926
117,65.12279968,16739.43236,65.12279968,65.12279968,296.4103081,1265.882528
118,524.999269,24468.75208,NA,NA,524.999269,1000.212881
119,0,16577.62141,0,0,517.4838404,1310.68584
120,1164.146942,28145.72621,NA,NA,NA,1515.211491
121,435.3830445,22230.92538,NA,435.3830445,706.3745782,1077.665099
122,92.14295535,18908.52595,92.14295535,104.9940588,535.5419879,1039.068662
123,244.2692191,20777.15842,NA,341.1850682,478.5846163,1160.466102
124,202.389703,32548.63689,NA,202.389703,534.7887493,1219.412482
125,246.8278584,15984.47975,NA,281.9342797,281.9342797,1301.684673
126,513.8871365,17117.29428,NA,NA,672.6192967,1353.189327
127,335.4154271,24151.75108,NA,401.2584993,622.4817401,1116.009067
128,921.670299,29910.8689,NA,NA,921.670299,1211.468988
129,172.1711509,16366.50608,NA,277.9644934,333.4562723,975.4150733
130,193.6983638,17719.57747,NA,330.5285947,469.8619395,1144.528293
131,118.5705128,19235.6778,NA,202.7782513,627.8412998,1125.250637
132,472.9181692,16407.70355,NA,484.2131772,693.2675817,1272.288629
133,80.49163412,16491.94063,80.49163412,238.9923707,378.7873569,1141.811825
134,179.8643967,19546.5463,NA,299.4711793,673.5753486,1239.574284
135,269.5764912,20018.48858,NA,375.8589635,597.4261662,1070.317017
136,339.08362,20831.59362,NA,339.08362,510.1978696,1374.307558
137,565.0220761,25470.78872,NA,NA,772.2434498,1183.56098
138,456.6789115,16623.012,NA,473.0070925,565.4250763,1282.649137
139,524.999269,24028.47114,NA,NA,622.950633,1080.415566
140,626.0614491,32002.78367,NA,NA,746.6246223,1264.622124
141,74.95589131,18337.22267,74.95589131,90.5121801,464.1536749,1285.815239
142,563.2705613,17827.43491,NA,NA,563.2705613,1431.618734
143,788.7633195,23308.14939,NA,NA,788.7633195,1153.449216
144,0,38664.12143,0,213.1414981,556.9797608,963.0283718
145,566.0016945,16147.29148,NA,NA,778.4790464,1274.11457
146,972.9897986,31065.93196,NA,NA,972.9897986,1515.135606
147,570.4030933,24653.5825,NA,NA,570.4030933,1286.92452
148,335.2766754,18220.09573,NA,335.2766754,485.27637,1072.380721
149,233.9047918,18852.136,NA,360.5690131,533.9768687,1164.336741
150,118.0697201,16715.02456,NA,179.7111181,546.756543,1012.629888
151,0,17200.98447,0,0,376.4928319,888.9706301
152,287.6962474,16445.04324,NA,287.6962474,467.9997333,1297.825792
153,417.2192398,24168.08402,NA,417.2192398,417.2192398,1521.568344
154,219.8709342,18289.35726,NA,219.8709342,615.413289,1308.12455
155,140.5813959,28304.39179,NA,140.5813959,140.5813959,1144.899718
156,0,31085.93737,8.260402024,110.5705277,110.5705277,788.0961832
157,90.5221701,20036.03748,90.5221701,241.5483137,610.0603671,1222.007043
158,496.0310259,18801.51364,NA,496.0310259,496.0310259,1299.08375
159,75.68340514,32384.5355,75.68340514,127.6222122,127.6222122,616.4714479
160,0,24679.06061,34.47846565,149.8465143,431.2905768,855.3456426
161,448.3581414,25864.88712,NA,448.3581414,653.9990544,1264.916126
162,448.3581414,26539.93614,NA,468.8241008,468.8241008,1352.782546
163,403.9256067,17247.8665,NA,403.9256067,555.4492926,1074.063323
164,359.372974,15762.88196,NA,402.8803444,563.3513319,1312.957774
165,988.0846719,23296.60816,NA,NA,988.0846719,1400.390894
166,914.7360252,30351.62998,NA,NA,918.2031621,1099.518836
167,308.6019721,25959.67234,NA,376.7114359,647.190843,1039.237421
168,12.95634159,19209.78732,22.96390787,192.4465885,397.8497952,1076.392104
169,0,19168.61025,0,284.1468818,436.8386918,1266.433615
170,78.15915996,17767.20343,80.70360286,206.8364098,360.3672418,1108.712286
171,120.8256094,16045.33841,NA,277.1814362,497.1281274,1217.206021
172,144.9432837,19425.12993,NA,186.7146502,601.968901,1186.042139
173,317.040701,15918.70254,NA,317.040701,633.6969435,1002.706371
174,282.2772855,16316.17747,NA,282.2772855,614.3066265,1034.791048
175,308.2679457,24184.26623,NA,308.2679457,472.3675452,1311.435024
176,684.2426929,16555.39958,NA,NA,859.8088028,1317.460796
177,456.6789115,16806.9142,NA,456.6789115,746.7083586,1339.573984
178,465.1643892,16157.00739,NA,465.1643892,753.8709122,1418.206498
179,650.2876459,16326.64961,NA,NA,819.9390437,1487.323353
180,335.4154271,24952.96536,NA,335.4154271,536.8756883,1090.715178
181,194.3404963,19999.51369,NA,358.561949,358.561949,1086.185502
182,826.9351528,24021.6454,NA,NA,905.4320875,1497.79567
183,5.584343543,18738.32301,5.584343543,222.600338,529.4290469,1155.000439
184,1169.219158,27536.38142,NA,NA,NA,1448.165364
