id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
209352494,2024-04-26 14:23:05,2024-04-26,2024-04-26 21:23:05 UTC,Pacific Time (US & Canada),5280683,freemont7,,2024-04-25 23:20:12 UTC,2024-05-02 18:23:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209352494,https://inaturalist-open-data.s3.amazonaws.com/photos/370486204/medium.jpeg,,"","",1,0,false,2,"Echo Park, Los Angeles, CA, USA",34.0755982259,-118.2598946616,15,,,,15,,,false,gps,gps,,Los Angeles,California,United States,Cabbage White,Pieris rapae,Cabbage White,Insecta,55626
209429695,2024-04-26 00:00:25-07:00,2024-04-26,2024-04-26 07:00:25 UTC,Pacific Time (US & Canada),74669,amyjaecker-jones,Amy Jaecker-Jones,2024-04-26 07:01:00 UTC,2024-04-27 06:40:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/209429695,https://inaturalist-open-data.s3.amazonaws.com/photos/370620710/medium.jpg,,"","",0,0,false,3,"Los Angeles County, US-CA, US",34.0875105006,-118.1717080969,3,,,,28874,obscured,,true,,,,Los Angeles,California,United States,"",Pterophoridae,Plume Moths,Insecta,47404
209432455,2024-04-26 00:03:33-07:00,2024-04-26,2024-04-26 07:03:33 UTC,Pacific Time (US & Canada),74669,amyjaecker-jones,Amy Jaecker-Jones,2024-04-26 07:15:31 UTC,2024-04-27 07:00:49 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/209432455,https://inaturalist-open-data.s3.amazonaws.com/photos/370624806/medium.jpg,,"","",1,0,false,3,"Los Angeles County, US-CA, US",34.1498976654,-118.163167958,22,,,,28874,obscured,,true,,,,Los Angeles,California,United States,Dwarf Tawny Wave,Cyclophora nanaria,Dwarf Tawny Wave,Insecta,217968
209588656,2024-04-26 07:47:14-07:00,2024-04-26,2024-04-26 14:47:14 UTC,Pacific Time (US & Canada),615325,istjinlbc,"",2024-04-26 14:49:04 UTC,2024-04-26 14:49:37 UTC,needs_id,,https://www.inaturalist.org/observations/209588656,https://static.inaturalist.org/photos/370861131/medium.jpg,,"",On coyote brush,0,0,false,3,"White Point Nature Preserve, Los Angeles, CA, US",33.7162966667,-118.3152216667,4,,,,4,,,false,,,,Los Angeles,California,United States,"",Gnorimoschema baccharisella,Coyote Brush Stem Gall Moth,Insecta,55517
209606223,2024-04-26 08:18:55-07:00,2024-04-26,2024-04-26 15:18:55 UTC,Pacific Time (US & Canada),7665282,savannah_teter,Savannah Teter,2024-04-26 15:19:13 UTC,2024-04-27 16:14:49 UTC,research,,https://www.inaturalist.org/observations/209606223,https://static.inaturalist.org/photos/370887838/medium.jpg,,"","",3,0,false,3,"W Hollywood Hills Rd, Los Angeles, CA, US",34.1131546692,-118.3856263493,15,,,,15,,open,false,,,,Los Angeles,California,United States,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
209630523,2024-04-26 09:03:42,2024-04-26,2024-04-26 16:03:42 UTC,Pacific Time (US & Canada),4985849,berndb,,2024-04-26 16:04:23 UTC,2024-04-26 16:04:35 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/209630523,https://inaturalist-open-data.s3.amazonaws.com/photos/370924684/medium.jpeg,,"",,0,0,false,2,"Coastal San Pedro, Los Angeles, CA, USA",33.7164301307,-118.3160312719,14,,,,14,,,false,,,,Los Angeles,California,United States,Coyote Brush Stem Gall Moth,Gnorimoschema baccharisella,Coyote Brush Stem Gall Moth,Insecta,55517
209653569,2024-04-26 09:47:31-07:00,2024-04-26,2024-04-26 16:47:31 UTC,Pacific Time (US & Canada),7792277,matthew_08,,2024-04-26 16:47:58 UTC,2024-05-04 22:40:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209653569,https://inaturalist-open-data.s3.amazonaws.com/photos/370960547/medium.jpg,,"","",3,1,false,3,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",33.8390244083,-118.1951500611,24,,,,24,,open,false,,,,Los Angeles,California,United States,Anise Swallowtail,Papilio zelicaon,Anise Swallowtail,Insecta,51097
209660356,2024-04-26 09:05:23-07:00,2024-04-26,2024-04-26 16:05:23 UTC,Pacific Time (US & Canada),7876898,johanag23,Johana Garcia,2024-04-26 17:02:09 UTC,2024-04-26 17:48:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209660356,https://inaturalist-open-data.s3.amazonaws.com/photos/370972018/medium.jpg,,"","",1,0,false,3,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",33.839775,-118.1953966667,13,,,,13,,open,false,,,,Los Angeles,California,United States,Anise Swallowtail,Papilio zelicaon,Anise Swallowtail,Insecta,51097
209677171,2024-04-26 10:32:46-07:00,2024-04-26,2024-04-26 17:32:46 UTC,Pacific Time (US & Canada),22513,gwennoda,Gwen Noda,2024-04-26 17:35:27 UTC,2024-04-27 16:14:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209677171,https://inaturalist-open-data.s3.amazonaws.com/photos/371001394/medium.jpg,,"","",3,0,false,3,"West Los Angeles College, Culver City, CA, US",34.00424445,-118.38558,12,,,,12,,open,false,,,,Los Angeles,California,United States,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
209678248,2024-04-26 09:47:36-07:00,2024-04-26,2024-04-26 16:47:36 UTC,Pacific Time (US & Canada),8040293,mayla88572,Mayla Marie,2024-04-26 17:37:40 UTC,2024-04-27 03:51:21 UTC,research,,https://www.inaturalist.org/observations/209678248,https://static.inaturalist.org/photos/371002658/medium.jpg,,"","",2,0,false,3,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",33.8390433044,-118.1951390953,5,,,,5,,open,false,,,,Los Angeles,California,United States,Anise Swallowtail,Papilio zelicaon,Anise Swallowtail,Insecta,51097
209683071,Fri Apr 26 2024 10:46:22 GMT-0700 (PDT),2024-04-26,2024-04-26 17:46:22 UTC,Pacific Time (US & Canada),216361,jmorton,Jess Morton,2024-04-26 17:46:51 UTC,2024-04-26 18:14:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209683071,https://inaturalist-open-data.s3.amazonaws.com/photos/371007413/medium.jpg,,"","",1,0,false,3,"Paseo del Mar, Los Angeles, CA, US",33.7064783333,-118.2893833333,4,,,,4,,,false,,,,Los Angeles,California,United States,Small White,Pieris rapae,Cabbage White,Insecta,55626
209695270,2024-04-26 10:30:00-07:00,2024-04-26,2024-04-26 17:30:00 UTC,Pacific Time (US & Canada),5593453,rosaliorubio,Rosalio,2024-04-26 18:09:12 UTC,2024-04-27 16:13:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209695270,https://inaturalist-open-data.s3.amazonaws.com/photos/371027609/medium.jpg,,"","",3,0,false,3,"Los Angeles Zoo, Los Angeles, CA, US",34.149598091,-118.2840634816,22,,,,22,,open,false,,,,Los Angeles,California,United States,Mourning Cloak,Nymphalis antiopa,Mourning Cloak,Insecta,56832
209697218,2024-04-26 11:12:03-07:00,2024-04-26,2024-04-26 18:12:03 UTC,Pacific Time (US & Canada),7243817,lizeth11440,lizeth nunez,2024-04-26 18:12:46 UTC,2024-04-26 18:22:08 UTC,research,,https://www.inaturalist.org/observations/209697218,https://static.inaturalist.org/photos/371029071/medium.jpg,,"","",1,0,false,3,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",33.8399825385,-118.1957694144,3,,,,3,,,false,,,,Los Angeles,California,United States,Small White,Pieris rapae,Cabbage White,Insecta,55626
209697605,2024-04-26 11:12:33-07:00,2024-04-26,2024-04-26 18:12:33 UTC,Pacific Time (US & Canada),7792270,zachary_b_09,,2024-04-26 18:13:35 UTC,2024-04-26 18:13:35 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/209697605,,,"","",0,0,false,3,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",33.8399466667,-118.1957083333,3,,,,3,,,false,,,,Los Angeles,California,United States,"",Pieris,Garden Whites,Insecta,55690
209697684,2024-04-26 11:13:12-07:00,2024-04-26,2024-04-26 18:13:12 UTC,Pacific Time (US & Canada),7792277,matthew_08,,2024-04-26 18:13:46 UTC,2024-04-27 14:09:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209697684,https://inaturalist-open-data.s3.amazonaws.com/photos/371029836/medium.jpg,,"","",2,0,false,3,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",33.839900027,-118.1958067307,10,,,,10,,,false,,,,Los Angeles,California,United States,Small White,Pieris rapae,Cabbage White,Insecta,55626
