city,latitude,longitude
Atlanta,33.75,-84.3885
Boston,42.3,-71.0565
Charlotte,35.2,-80.8409
Chicago,41.8,-87.6324
Dallas,32.7,-96.79699
DC,38.9,-77.036
Denton,33.2,-97.133064
Denver,39.7,-104.9847
Des_moines,41.6,-93.598022
Detroit,42.3,-83.045753
Houston,29.7,-95.358421
LA,34.05,-118.24368
Minneapolis,44.98,-93.15
NYC,40.7,-73.935242
Philadelphia,39.95,-75.1652
Phoenix,33.5,-112.07404
Raleigh,35.78,-78.644257
Riverside,34,-117.396156
SD,32.7,-117.161087
SF,37.7,-122.431297
St_louis,38.6,-90.199402
Tampa,28,-82.452606
