new_id,nearest_dist,avg_dist_all,avg_dist_100m,avg_dist_500m,avg_dist_1000m,avg_dist_2000m
1,0.009996499,12688.20993,20.97720003,138.9064369,515.9895727,952.235036
2,0.009996402,21144.79515,2.577753483,99.77117291,293.0454364,544.4122429
3,0.009996498,20213.7875,41.58847689,167.4589022,295.9870595,790.439422
4,90.3312474,35883.88391,90.3312474,183.4381667,537.7449969,922.7370741
5,540.2193857,16741.29448,NA,NA,611.3166684,1186.991617
6,115.3865635,22169.28819,NA,266.1320955,421.5994706,1075.693015
7,415.2065693,20289.92582,NA,447.9426645,613.5068253,1222.918518
8,219.1886729,22720.97486,NA,219.1886729,451.4825838,451.4825838
9,14.38171911,19767.04044,14.38171911,109.7842519,270.1209037,1231.981196
10,103.8805212,22957.73508,NA,109.6335424,605.0380555,1173.853532
11,202.7868637,24117.07605,NA,202.7868637,653.9097984,1106.520936
12,713.6199458,24997.86759,NA,NA,713.6199458,1420.10355
13,172.9886868,16706.18733,NA,321.0687154,534.6794789,1104.790944
14,37.74049349,18699.73784,37.74049349,324.4266362,373.7026946,1069.89693
15,69.29658732,18184.50284,69.29658732,69.29658732,471.3631509,1234.895989
16,202.3199605,30317.36351,NA,265.4092,423.721315,991.0613397
17,91.27413843,37231.13475,91.27413843,220.6841741,220.6841741,804.4262678
18,120.6456503,17330.56075,NA,197.7100027,406.8916624,910.0731422
19,79.22656315,18121.45132,79.22656315,184.0884644,306.7061036,1279.016501
20,130.3489685,18269.3673,NA,149.4949864,351.3275397,1119.956628
21,151.4338764,19697.30722,NA,211.5142964,539.5719335,1105.242721
22,0.009996489,29000.66515,0.009997372,114.4948821,287.0249162,400.9095706
23,49.52292502,19768.89309,49.52292502,262.7197308,599.8118709,972.3080281
24,0.00999655,15967.18003,11.6413238,89.77821064,219.5464758,603.4273199
25,119.1634814,17011.21871,NA,240.4337832,488.1364089,932.4177378
26,127.2360393,17357.20478,NA,326.0435172,565.996703,1037.96499
27,256.4409947,26881.1248,NA,256.4409947,626.6473225,1305.447561
28,70.46459782,37786.55224,70.46459782,225.4019105,551.2078771,955.8025476
29,185.6583681,16213.30624,NA,275.1937086,478.7563689,965.8403657
30,3.125110296,32904.33278,29.19772487,29.19772487,29.19772487,660.7133945
31,209.5189296,17576.99467,NA,209.5189296,498.6077363,1001.025025
32,531.8901956,17238.80253,NA,NA,773.7293546,1237.66912
33,76.40845463,17080.43666,76.40845463,76.40845463,579.1687591,1363.103452
34,488.8097896,22930.07172,NA,488.8097896,784.231037,1209.91353
35,604.1373865,23411.27243,NA,NA,604.1373865,1430.170372
36,541.5199454,19777.02317,NA,NA,738.2817784,952.5837762
37,77.19763705,17755.95731,77.19763705,77.19763705,532.0689515,912.1658475
38,0.009996463,17092.04719,10.18956848,171.8824707,403.1923955,742.3734343
39,793.9291085,29103.19697,NA,NA,829.0892404,1205.87826
40,151.5132356,28459.79417,NA,231.447673,514.1517435,1215.562279
41,37.74049349,19064.44976,37.74049349,249.2460576,332.9274138,1125.055618
42,364.5969874,19050.63114,NA,364.5969874,455.788003,1240.985697
43,274.7743552,17713.01785,NA,274.7743552,446.4125593,1239.50303
44,277.2263739,18687.8916,NA,277.2263739,533.6321137,1136.144951
45,277.2263739,18810.91227,NA,277.2263739,655.647201,1404.307532
46,315.1166191,16172.88835,NA,332.7290395,503.3290057,1261.896515
47,59.89509838,21035.8672,59.89509838,210.0780231,284.9688808,886.6992367
48,102.8841439,16630.576,NA,102.8841439,647.0865878,1058.357474
49,202.3199605,31311.03898,NA,202.3199605,562.4052293,749.608071
50,183.9820079,21070.35791,NA,183.9820079,346.1498156,987.9932143
51,249.232984,19160.4481,NA,249.232984,522.125554,993.0182932
52,0.009996517,17825.14729,0.009996517,126.9150463,498.3595678,1164.637517
53,204.1599812,17499.79029,NA,239.0953571,420.6381601,1075.635513
54,156.0567905,38016.81492,NA,317.7574638,604.6814995,947.6649711
55,670.147422,17541.37739,NA,NA,849.2865461,1323.966126
56,1271.087171,26078.27006,NA,NA,NA,1457.656512
57,111.5405873,21983.51742,NA,111.5405873,679.8823892,1149.278903
58,191.8154289,21388.05416,NA,191.8154289,191.8154289,1016.734349
59,189.343727,17222.18939,NA,338.5965669,491.7740879,822.5916331
60,144.8991136,25693.89271,NA,245.6934774,469.514089,1091.998753
61,346.4878413,25779.18024,NA,346.4878413,675.4826144,1181.859892
62,4.715990059,16907.26339,4.715990059,4.715990059,579.9146157,1096.476914
63,17.31990346,20502.20381,17.31990346,132.3628547,369.0386675,553.7193984
64,55.27033945,33347.67225,55.27033945,111.9272878,111.9272878,892.2989713
65,243.5767443,17730.0939,NA,312.364712,504.2535555,1028.903094
66,30.55747938,17660.15999,30.55747938,30.55747938,485.9039717,485.9039717
67,11.25620798,23102.91382,11.25620798,232.3667823,232.3667823,1144.810325
