genus,research_grade_detections,total_detections,research_grade_proportion,date_data_obtained,notes
Abaeis,23076,24107,0.957232339,11.1.2024,
Anaea,8590,9218,0.931872424,7.3.2025,
Ancyloxypha,14452,14706,0.982728138,5.12.2024,
Anthanassa,5937,6152,0.965052016,7.4.2025,
Asterocampa,59052,63260,0.933480873,5.12.2024,
Anthocharis,8527,9295,0.917374933,11.1.2024,
Atlides,7331,7409,0.989472263,7.3.2025,
Apodemia,7510,9571,0.784662,11.19.2024,
Battus,59313,59809,0.991706934,11.1.2024,
Brephidium,12347,12442,0.992364572,11.1.2024,
Burnsius,28009,50421,0.555502668,11.1.2024,
Callicista,63831,64379,0.991487908,11.4.2024,"Using the genus name ""Styrmon"" as is accepted on iNaturalist"
Callophrys,26650,28502,0.935022104,11.1.2024,
Calpodes,2712,2931,0.925281474,5.12.2024,
Calycopis,21058,23021,0.914730029,5.12.2024,
Celastrina,25268,43820,0.576631675,11.1.2024,
Chioides,4022,4087,0.984095914,7.4.2025,
Chlosyne,38480,45087,0.853461086,11.1.2024,
Coenonympha,15284,15663,0.975802847,11.1.2024,
Colias,45705,70232,0.650771728,11.1.2024,
Cyaniris,25268,43820,0.576631675,11.1.2024,"Using the genus name ""Celastrina"" as is accepted on iNaturalist"
Danaus,288086,289429,0.995359829,11.1.2024,
Dione,99389,100170,0.992203254,11.1.2024,
Echinargus,11233,11781,0.953484424,11.1.2024,
Elkalyce,39969,43521,0.918384228,11.1.2024,"Using the genus name ""Cupido"" as is accepted on iNaturalist"
Eresia,108438,145727,0.744117425,7.12.2025,"Using the genus name ""Phyciodes"" as is accepted on iNaturalist"
Erynnis,48566,83635,0.580689903,11.4.2024,
Epargyreus,59681,59881,0.996660042,5.12.2024,
Euphyes,14505,20473,0.708494114,5.12.2024,
Euptoieta,43471,43825,0.991922419,11.4.2024,
Euptychia,15958,16068,0.993154095,5.12.2024,"Using the genus name ""Megisto"" as is accepted on iNaturalist"
Feniseca,2389,2405,0.993347193,5.12.2024,
Glaucopsyche,7406,8529,0.868331575,11.4.2024,
Heliopetes,5614,6039,0.92962411,11.4.2024,
Hemiargus,12463,12922,0.964479183,11.4.2024,
Hermeuptychia,11238,14260,0.788078541,7.4.2025,
Hylephila,69416,73755,0.94117009,11.4.2024,
Icaricia,19658,28506,0.689609205,11.4.2024,
Incisalia,11629,12272,0.947604302,11.4.2024,"Using the subgenus name ""Incisalia"" instead of genus ""Callophrys"" as is accepted on iNaturalist"
Junonia,95168,97217,0.978923439,11.4.2024,
Leptotes,17121,18005,0.950902527,11.4.2024,
Lerema,18804,23103,0.81392027,7.3.2025,
Lerodea,6703,8312,0.806424447,11.4.2024,
Lethe,21455,21995,0.975448966,5.12.2024,
Libytheana,25494,25569,0.997066761,5.12.2024,
Limenitis,101903,105428,0.966564859,11.4.2024,
Lon,52808,55572,0.950262722,11.4.2024,
Lycaena,9871,10479,0.941979196,7.13.2025,
Mitoura,12014,12608,0.952887056,7.3.2025,"Using the subgenus name ""Mitoua"" instead of genus ""Callophrys"" as is accepted on iNaturalist"
Nastra,2168,2910,0.745017182,5.12.2024,
Nathalis,17883,17994,0.993831277,11.4.2024,
Nymphalis,42959,44034,0.975587046,11.4.2024,
Oarisma,6583,8381,0.785467128,7.4.2025,
Occidryas,21339,30070,0.709644164,11.4.2024,"Using the genus name ""Euphydryas"" as is accepted on iNaturalist"
Ochlodes,12190,15060,0.809428951,11.4.2024,
Panoquina,11321,12421,0.911440303,11.4.2024,
Papilio,287668,308356,0.932908716,11.4.2024,
Parrhasius,2168,2202,0.984559491,5.12.2024,
Philotes,469,469,1,11.4.2024,
Phoebis,34275,38246,0.896172149,11.4.2024,
Pholisora,4614,5020,0.919123506,5.12.2024,
Phyciodes,103556,137103,0.755315347,5.12.2024,
Pieris,71199,78410,0.908034689,11.4.2024,
Poanes,4955,5507,0.899763937,5.12.2024,
Polites,44281,55341,0.800148172,11.4.2024,
Polygonia,65169,75393,0.864390593,4.22.2025,
Pontia,26080,29780,0.875755541,11.4.2024,
Pyrgus,28009,50421,0.555502668,11.1.2024,"Using the genus name ""Burnsius"" as is accepted on iNaturalist"
Pyrisitia,47818,50398,0.948807492,7.5.2025,"Using the subgenus name ""Pyrisitia"" instead of genus ""Eurema"" as is accepted on iNaturalist"
Satyrium,22594,24254,0.931557681,5.12.2024,
Speyeria,49147,62057,0.791965451,5.12.2024,
Staphylus,2505,2982,0.840040241,7.5.2025,
Strymon,63831,64379,0.991487908,11.4.2024,
Thecla,26650,28502,0.935022104,11.4.2024,"Using the genus name ""Callophrys"" as is accepted on iNaturalist - Thecla iriodes -> Callophrys augustinus iriodes"
Thorybes,9907,15848,0.625126199,7.5.2025,
Thymelicus,4821,5805,0.830490956,7.13.2025,
Urbanus,17776,18181,0.977723998,5.12.2024,
Vanessa,200664,203310,0.986985392,11.4.2024,
Vernia,4833,6996,0.690823328,5.12.2024,
Zerene,8910,9102,0.978905735,7.5.2025,
