locality,scientificName,scientificNameAuthorship,vernacularName,taxonRank,establishmentMeans,degreeOfEstablishment,isHybrid,pathway,habitat,Biocontrol,associatedTaxa,eventRemarks,IntroDateNumber,taxonRemarks,kingdom,phylum,class,order,family,taxonomicStatus,ITIS_TSN,GBIF_taxonKey,taxonID,Authority,WebLink,associatedReferences,eventDate,modified,Update_Remarks,occurrenceRemarks,occurrenceID
L48,Acentria ephemerella,"(Denis and Schiffermuller, 1775)",European water moth,Species,introduced: assisted colonization,established (category C3),FALSE,biological control,,Yes,"feeds on: Lemna, Sparganium, Potamogeton, Myriophyllum, Hydrilla verticillata, Elodea canadensis, Ceratophyllum demersum, Anacharis canadensis, Trapa natans",approx. date of introduction: 1927,1927,Other name(s): Acentria nivea; Phryganea nivea; Tinea ephemerella,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Accepted GBIF,,4531687,https://www.gbif.org/species/4531687,US Geological Survey Nonindigenous Aquatic Species (NAS) Program (2017gh),https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?SpeciesID=2362,"US Geological Survey Nonindigenous Aquatic Species (NAS) Program (2017gh), https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?SpeciesID=2362",2017-03-14,2022-06-27,"Added associatedTaxa, added occurrenceRemarks; Added scientificNameAuthorship, Updated vernacularName, Added Biocontrol, Added associatedTaxa, Added Other Names",Native to: Europe; US distribution: NY (Lake Ontario),USRIIS-L48-Animalia5168
L48,Achaea ablunaris,"(Guenée, 1852)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: before 1989,1984,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Accepted GBIF,937577,8274236,https://www.gbif.org/species/8274236,Frank and McCoy (1992),https://www.jstor.org/stable/3495477,"Frank and McCoy (1992), https://www.jstor.org/stable/3495477",2019-08-13,2019-08-13,,,USRIIS-L48-Animalia12289
L48,Achroia grisella,"(Fabricius, 1794)",Lesser wax moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",widespread invasive (category E),FALSE,unintentional,,,,approx. date of introduction: 1565?,1565,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,1870988,https://www.gbif.org/species/1870988,Heppner et al. (2003),https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf,"Heppner et al. (2003), https://www.fdacs.gov/ezs3download/download/25122/516038/Media/Files/Plant-Industry-Files/PDF/arthropods-of-florida-vol-17.pdf",2021-03-10,2022-05-09,Changed degreeOfEstablishment based on GBIF map; Added scientificNameAuthorship; Updated Source Type,,USRIIS-L48-Animalia13065
L48,Acleris comariana,"(Lienig and Zeller, 1846)",Strawberry tortrix,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,unintentional,,,,approx. date of introduction: 1972 (Seebens (2021)),1972,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1739816,https://www.gbif.org/species/1739816,University of Georgia Center for Invasive Species and Ecosystem Health - insects,https://www.invasive.org/species/insects.cfm,"University of Georgia Center for Invasive Species and Ecosystem Health - insects, https://www.invasive.org/species/insects.cfm",2012-06-26,2022-03-23,"Added eventRemarks; Removed associatedTaxa ""biocontrol for: Myriophyllum spicatum; Hydrilla verticillata""; Added scientificNameAuthorship; Changed Source Type; Updated websiteURL",,USRIIS-L48-Animalia89
L48,Acleris forsskaleana,"(Linnaeus, 1758)",Moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1932,1932,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1739922,https://www.gbif.org/species/1739922,Aukema and McCullough (2009),https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9,"Aukema and McCullough (2009), https://knb.ecoinformatics.org/#view/doi:10.5063/AA/nuding.7.9",2017-07-14,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia5645
L48,Acleris holmiana,"(Linnaeus, 1758)",Golden leafroller moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1974,1974,Other name(s): Croesia holmiana,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1740069,https://www.gbif.org/species/1740069,Gilligan et al. (2020),https://doi.org/10.3390/insects11090594,"Gilligan et al. (2020), https://doi.org/10.3390/insects11090594",2020-12-02,2021-10-29,Added scientificNameAuthorship,Also see: http://idtools.org/id/leps/tortai/Acleris_holmiana.htm,USRIIS-L48-Animalia13017
L48,Acleris rhombana,"(Denis and Schiffermuller, 1775)",Tortricid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1740120,https://www.gbif.org/species/1740120,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14360
L48,Acleris variegana,"(Denis and Schiffermüller, 1775)",Leaf roller,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,approx. date of introduction: 1920 (Aukema and McCullough (2009)),1920,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Accepted GBIF,,1739833,https://www.gbif.org/species/1739833,Mattson et al. (1994),https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf,"Mattson et al. (1994), https://www.nrs.fs.usda.gov/pubs/gtr/gtr_nc169.pdf",2017-01-26,2021-10-29,Added scientificNameAuthorship,,USRIIS-L48-Animalia4922
L48,Acrobasis suavella,"(Zincken, 1818)",Pyralid moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",established (category C3),FALSE,,,,,,,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Accepted GBIF,,4531145,https://www.gbif.org/species/4531145,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2021-06-02,,,USRIIS-L48-Animalia14361
L48,Acrolepiopsis assectella,"(Zeller, 1839)",Leek moth,Species,"introduced (alien, exotic, non-native, nonindigenous)",invasive (category D2),FALSE,,,,,approx. date of introduction: 1993,1993,,Animalia,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,Accepted GBIF,,4525339,https://www.gbif.org/species/4525339,"Turner, Blake, and Liebhold (2021)",https://doi.org/10.5281/zenodo.5245302,"Turner, Blake, and Liebhold (2021), https://doi.org/10.5281/zenodo.5245302",2021-06-02,2022-05-09,Changed vernacularName; Changed degreeOfEstablishment,,USRIIS-L48-Animalia14362
