eButterfly_species,GBIF_species,GBIF_verbatimScientificName,LepTraits_name,BAMONA_name,Chowdhury_name,aveWingspan,black,gray,white,brown,red,orange,yellow,green,blue,pink,purple,eyespot,stripe,checker,tail,band,spot,colorDiversity,featureDiversity,is_migratory,notes
Abaeis nicippe,Abaeis nicippe,,Abaeis nicippe,,Eurema_nicippe,3.935,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,1,TRUE,
Achalarus lyciades,,Thorybes lyciades,Achalarus lyciades,,,4.865,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,2,TRUE,
Eantis tamenund,,Eantis tamenund,Eantis tamenund,Eantis tamenund,,NA,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,4,2,FALSE,
Adelpha californica,Limenitis bredowii,Adelpha californica,Adelpha bredowii,Adelpha californica,Adelpha bredowii,7.23333,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,UNKNOWN,
Aglais io,Aglais io,,Aglais io,,Inachis io,4.55,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,TRUE,
Aglais milberti,Aglais milberti,,Aglais milberti,,,4.92,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,5,2,TRUE,
Agraulis vanillae,Dione vanillae,,Agraulis vanillae,,,6.655,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,TRUE,
Amblyscirtes aesculapius,Mastor aesculapius,,Amblyscirtes aesculapius,Amblyscirtes aesculapius,,3.25,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4,2,FALSE,
Amblyscirtes hegon,Mastor hegon,,Amblyscirtes hegon,Amblyscirtes hegon,,2.51,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,5,2,FALSE,
Amblyscirtes vialis,Mastor vialis,,Amblyscirtes vialis,Amblyscirtes vialis,,2.52775,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,FALSE,
Amblyscirtes celia,,Amblyscirtes celia,Amblyscirtes celia,,,2.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Anaea aidea,Anaea aidea,,Anaea aidea,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
Anaea andria,Anaea andria,,Anaea andria,,,6.39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,2,FALSE,
Anartia jatrophae,Anartia jatrophae,,Anartia jatrophae,,,5.03,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Anatrytone logan,Atrytone delaware,,Anatrytone logan,Anatrytone logan,,3.07778,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
Ancyloxypha numitor,Ancyloxypha numitor,,Ancyloxypha numitor,,,2.29,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,FALSE,
Anthanassa texana,Anthanassa texana,,Anthanassa texana,,,3.735,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,FALSE,
Anthanassa tulcis,Anthanassa tulcis,,NA,,,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,FALSE,
Anthocharis midea,Anthocharis midea,,Anthocharis midea,,,3.75,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,FALSE,
Anthocharis sara,"Anthocharis sara, Anthocharis thoosa",,Anthocharis sara,,,3.46,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6,1,FALSE,
Apodemia mormo,,"Apodemia mormo, Apodemia mormo autumnalis, Apodemia mormo langei, Apodemia mormo parva, Apodemia mormo tuolumnensis",Apodemia mormo,,,2.525,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,6,2,FALSE,
,Apodemia virgulti,,Apodemia virgulti,Apodemia virgulti,,2.525,,,,,,,,,,,,0,0,1,0,0,1,,2,,
Ascia monuste,Ascia monuste,,Ascia monuste,,,5.53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,TRUE,
Asterocampa celtis,Asterocampa celtis,,Asterocampa celtis,,,5.2625,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,2,TRUE,
Asterocampa clyton,Asterocampa clyton,,Asterocampa clyton,,,5.7125,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4,2,TRUE,
