species,migratory
Vanessa cardui,1
Danaus plexippus,1
Vanessa atalanta,1
Pieris brassicae,1
Agraulis vanillae,1
Phoebis sennae,1
Aphrissa statira,1
Junonia coenia,1
Phoebis argante,1
Urbanus proteus,1
Eurema daira,1
Eurema lisa,1
Eurema nicippe,1
Libytheana carinenta,1
Marpesia chiron,1
Pieris rapae,1
Vanessa virginiensis,
Anteos maerula,1
Aphrissa boisduvalii,1
Appias olferna,
Ascia monuste,1
Badamia exclamationis,1
Belenois java,1
Catopsilia fiorella,1
Catopsilia pomona,1
Catopsilia pyranthe,1
Chioides catillus,1
Colias croceus,1
Colotis phisadia,1
Danaus chrysippus,1
Eurema hecabe,1
Historis acheronta,1
Jamides nemophila,
Lexias aeropa,
Libythea celtis,
Marpesia petreus,1
Nacaduba calauria,
Nothodanis schaeffera,
Papilio demoleus,1
Papilio machaon,1
Papilio polytes,1
Parnara guttatus,
Phoebis agarithe,1
Polyura andrewsi,
Taractrocera ilia,
Zizula hylax,
Achalarus lyciades,1
Acraea acerata,1
Acraea andromacha,1
Acraea encedon,1
Acraea eponina,1
Acraea neobule,1
Acraea serena,1
Acraea terpsicore,1
Actinote anteas,1
Actinote hylonome,1
Actinote leucomelas,1
Acytolepis puspa,1
Adelpha bredowii,1
Aeria eurimedia,1
Aglais cashmirensis,1
Aglais milberti,1
Aglais urticae,1
Allancastria cerisyi,1
Amauris niavius,1
Andronymus gander,1
Andronymus neander,1
Anteos clorinde,1
Anthene amarah,1
Aporia crataegi,1
Appias albina,1
Appias drusilla,
Appias epaphia,1
Appias indra,1
Appias lalage,1
Appias leis,1
Appias libythea,1
Appias lyncida,1
Appias melania,
Appias paulina,1
Appias sabina,1
Appias sylvia,1
Appias wardii,1
Araschnia levana,1
Argynnis adippe,1
Argynnis aglaja,1
Argynnis hyperbius,1
Arhopala araxes,1
Arhopala centaurus,1
Ariadne ariadne,1
Ariadne merione,1
Asterocampa celtis,1
Asterocampa clyton,1
Atalopedes campestris,1
Athesis clearista,1
Athyma opalina,1
Augiades crinisus,1
Azanus jesous,1
Azanus ubaldus,1
Battus belus,1
Battus crassus,1
Battus philenor,1
Battus polydamas,1
Belenois aurota,1
Belenois calypso,1
Belenois creona,1
Belenois gidica,1
Belenois hedyle,1
Belenois solilucis,1
Belenois subeida,1
Belenois theora,1
Belenois zochalia,1
Biblis hyperia,1
Bindahara phocides,1
Bindahara sugriva,1
Boloria epithore,1
Boloria selene,1
Borbo borbonica,1
Borbo cinnara,1
Braphidium exilis,1
Byblia anvatara,1
Byblia ilithyia,1
Cacyreus marshalli,1
Calisto anegadensis,1
Callithomia lenea,1
Calpodes ethlius,1
Castalius rosimon,1
Catasticta nimbice,1
Catopsilia boisduvalii,1
Catopsilia gorgophone,1
Catopsilia scylla,
Catopsilia trite,1
Celastrina argiolus,1
Celastrina huegeli,1
Celatoxia albidisca,1
Cepora nadina,1
Cepora nerissa,1
Cepora perimale,1
Ceratinia tutia,1
Charaxes boueti,1
Charaxes candiope,1
Charaxes psaphon,1
Charaxes varanes,1
Chilades lajus,1
Chlosyne fulvia,1
Cirrochroa emalea,1
Cirrochroa thais,1
Coeliades forestan,1
Coeliades libeon,1
Colias alexandra,1
Colias behrii,
Colias electo,1
Colias erate,1
Colias eurymus,1
Colias eurytheme,1
Colias fieldii,1
Colias hyale,1
Colias lesbia,1
Colias palaeno,1
Colias philodice,1
Colias sareptensis,1
Colotis amata,1
Colotis chrysonome,1
Colotis eris,1
Colotis etrida,1
Colotis evagore,1
Colotis evenina,1
Colotis fausta,1
Colotis subfasciatus,1
Cupha erymanthis,1
Cupido argiades,
Cyllopsis pertepida,1
Cymothoe caenis,1
Cyrestis cocles,1
Danaus affinis,1
Danaus eresimus,
Danaus erippus,1
Danaus genutia,1
Danaus gilippus,
Danaus petilia,1
Delias acalis,1
Delias aganippe,1
Delias aglaja,1
Delias agostina,1
Delias eucharis,1
Delias harpalyce,1
Delias nigrina,1
Delias ninus,1
Delias pasithoe,1
Delias sanaca,1
Deudorix antalus,1
Deudorix epijarbus,1
Deudorix livia,1
Dione juno,1
Dione moneta,1
Dircenna dero,1
Dircenna jemina,1
Dircenna olyras,1
Dixeia cebron,1
Dixeia charina,1
Dixeia pigea,1
Doleschallia bisaltide,1
Dryadula phaetusa,
Dryas iulia,
Dynastor darius,1
Echinargus isola,1
Elodina angulipennis,1
Elodina claudia,
Elodina padusa,
Epargyreus clarus,1
Ephyriades arcas,1
Episcada hymenaea,1
Episcada sylpha,1
Euchloe lucilla,1
Euchrysops malathana,1
Eueides aliphera,1
Eueides isabella,1
Eueides lybia,1
Eueides procula,1
