X.1,X,gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,stateProvince,countryCode,occurrenceStatus,day,month,year,geometry,,raster_label,longitude,latitude
2,35,2576348146,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,California,US,PRESENT,26,2,2020,c(390077.809470273, 3778798.30322064),Building,-118.192294,34.144304
10,119,2814258233,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Leptotes,Leptotes marina,SPECIES,California,US,PRESENT,3,7,2020,c(386107.166413052, 3776620.07893287),Road,-118.235068,34.124238
13,161,4006670337,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Uresiphita,Uresiphita reversalis,SPECIES,California,US,PRESENT,29,7,2020,c(372630.253298446, 3740021.68618994),Unclassified,-118.375855,33.792697
16,202,2860132815,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,Manduca sexta,SPECIES,California,US,PRESENT,29,8,2020,c(374869.55820251, 3784808.04536248),Unclassified,-118.358083,34.196776
28,371,3327731722,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio rumiko,SPECIES,California,US,PRESENT,9,7,2021,c(389542.632566466, 3767325.23164953),Grass/Shrub,-118.196641,34.040797
37,479,3384373779,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,Pyrausta volupialis,SPECIES,California,US,PRESENT,16,9,2021,c(383864.805595353, 3766565.86307713),Road,-118.258038,34.033336
40,526,3456494277,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio rumiko,SPECIES,California,US,PRESENT,18,12,2021,c(362271.94021313, 3790148.89528595),Building,-118.495621,34.243337
66,888,4102951505,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anthocharis,Anthocharis sara,SPECIES,California,US,PRESENT,30,4,2023,c(351096.717210317, 3778814.19596606),Unclassified,-118.614985,34.139614
67,891,4111902792,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles,Hyles lineata,SPECIES,California,US,PRESENT,6,5,2023,c(382404.307329945, 3783554.88873271),Unclassified,-118.276154,34.186355
102,1263,2626162047,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,California,US,PRESENT,7,5,2020,c(372074.173759855, 3743536.89531831),Unclassified,-118.38237,33.824325
