"","X.1","X","gbifID","kingdom","phylum","class","order","family","genus","species","taxonRank","stateProvince","countryCode","occurrenceStatus","day","month","year","geometry","raster_label"
"1",1,7,4852897243,"Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Paranthrene","Paranthrene robiniae","SPECIES","Washington","US","PRESENT",16,6,2023,c(551176.722226105, 5275699.01200958),"Tree Canopy"
"2",9,687,3881437779,"Animalia","Arthropoda","Insecta","Lepidoptera","Autostichidae","Oegoconia","Oegoconia quadripuncta","SPECIES","Washington","US","PRESENT",31,7,2022,c(547226.158783436, 5283018.95728778),"Building"
"3",20,1506,3384257675,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Endrosis","Endrosis sarcitrella","SPECIES","Washington","US","PRESENT",22,5,2021,c(547236.8281453, 5283017.15449912),"Tree Canopy"
"4",46,4380,4137685613,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",27,6,2022,c(549099.316710008, 5280403.29655211),"Tree Canopy"
"5",52,5324,3124855870,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa cardui","SPECIES","Washington","US","PRESENT",26,5,2021,c(545637.79835447, 5264135.47308143),"Grass/Shrub"
"6",66,6624,4413592962,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Polix","Polix coloradella","SPECIES","Washington","US","PRESENT",19,7,2023,c(545467.124091696, 5281651.83765755),"Tree Canopy"
"7",89,8597,3399029204,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pyrrharctia","Pyrrharctia isabella","SPECIES","Washington","US","PRESENT",14,10,2021,c(553120.258123749, 5278356.27252526),"Grass/Shrub"
"8",107,11008,4407330415,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilosoma","Spilosoma virginica","SPECIES","Washington","US","PRESENT",10,8,2021,c(549319.719663444, 5262922.67357411),"Grass/Shrub"
"9",113,11387,3858609157,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",24,6,2022,c(549709.442360834, 5263621.62260101),"Tree Canopy"
"10",124,12824,4067629231,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis antiopa","SPECIES","Washington","US","PRESENT",18,3,2023,c(554106.201422629, 5282800.95163403),"Building"
"11",129,13643,3994301388,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Vitula","Vitula serratilineella","SPECIES","Washington","US","PRESENT",24,7,2021,c(547238.033113607, 5283016.60855908),"Tree Canopy"
"12",145,15346,4067673516,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis antiopa","SPECIES","Washington","US","PRESENT",18,3,2023,c(556029.984270416, 5280968.65453727),"Grass/Shrub"
"13",153,16399,3872902211,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Tyria","Tyria jacobaeae","SPECIES","Washington","US","PRESENT",1,6,2022,c(553128.131762102, 5278587.86498227),"Grass/Shrub"
"14",156,16782,4413586811,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pyrausta","Pyrausta californicalis","SPECIES","Washington","US","PRESENT",16,8,2023,c(551300.76519335, 5280002.15835784),"Tree Canopy"
"15",162,17091,2814399357,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctua","Noctua pronuba","SPECIES","Washington","US","PRESENT",4,7,2020,c(547225.366886481, 5283014.83842514),"Building"
"16",180,18578,3314617569,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",24,6,2021,c(555794.845005727, 5280848.02027313),"Tree Canopy"
"17",188,19670,2898514503,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Endrosis","Endrosis sarcitrella","SPECIES","Washington","US","PRESENT",10,9,2020,c(547228.35634549, 5283025.53280043),"Building"
"18",190,19777,3747244396,"Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Marmara","Marmara arbutiella","SPECIES","Washington","US","PRESENT",22,5,2021,c(550854.857928624, 5277498.32473069),"Tree Canopy"
"19",194,20430,4138081189,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Tyria","Tyria jacobaeae","SPECIES","Washington","US","PRESENT",19,6,2023,c(553032.156997467, 5278382.58917151),"Grass/Shrub"
"20",200,20837,3873504400,"Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella xylostella","SPECIES","Washington","US","PRESENT",19,8,2020,c(547236.799240215, 5283020.71095881),"Tree Canopy"
"21",210,21601,4133665265,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa cardui","SPECIES","Washington","US","PRESENT",12,6,2023,c(545089.759474249, 5264168.56484418),"Grass/Shrub"
"22",221,22532,3881691013,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",28,7,2022,c(555928.79495148, 5280984.79749685),"Tree Canopy"
"23",225,22920,3923296686,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Antheraea","Antheraea polyphemus","SPECIES","Washington","US","PRESENT",7,3,2020,c(553722.742116195, 5277437.27513497),"Water"
"24",226,22951,3858177534,"Animalia","Arthropoda","Insecta","Lepidoptera","Autostichidae","Oegoconia","Oegoconia quadripuncta","SPECIES","Washington","US","PRESENT",6,8,2020,c(547225.785448524, 5283018.7319608),"Building"
"25",230,23363,4145760411,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",8,6,2023,c(545150.357405765, 5276510.67142347),"Grass/Shrub"
"26",254,25746,3301868342,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Tyria","Tyria jacobaeae","SPECIES","Washington","US","PRESENT",29,5,2021,c(556188.101421079, 5281058.210114),"Tree Canopy"
"27",274,26916,3912023361,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",24,6,2020,c(552801.392941933, 5281269.33382286),"Tree Canopy"
"28",300,28916,2823401663,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae","SPECIES","Washington","US","PRESENT",23,7,2020,c(547965.391653723, 5282881.96499114),"Road"
"29",304,29728,2823422459,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",21,7,2020,c(547236.803756635, 5283020.15526199),"Tree Canopy"
"30",313,31156,3881487198,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Smerinthus","Smerinthus cerisyi","SPECIES","Washington","US","PRESENT",28,7,2022,c(555819.020088465, 5286829.87390069),"Unclassified"
"31",317,31403,4116350478,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa argentata","SPECIES","Washington","US","PRESENT",6,5,2023,c(544913.346160014, 5278178.01529567),"Tree Canopy"
"32",336,32748,4028754406,"Animalia","Arthropoda","Insecta","Lepidoptera","Alucitidae","Alucita","Alucita montana","SPECIES","Washington","US","PRESENT",19,7,2021,c(547237.332567192, 5283019.71497308),"Tree Canopy"
"33",339,33150,4171336416,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Neoalcis","Neoalcis californiaria","SPECIES","Washington","US","PRESENT",23,9,2021,c(547794.414762461, 5279444.68365174),"Tree Canopy"
"34",340,33268,3858626606,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",21,6,2022,c(555987.02881552, 5280962.90570312),"Tree Canopy"
"35",381,36652,3759321247,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia satyrus","SPECIES","Washington","US","PRESENT",7,4,2022,c(545514.699133015, 5264235.09780117),"Tree Canopy"
"36",387,37502,3902119564,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Clepsis","Clepsis consimilana","SPECIES","Washington","US","PRESENT",26,7,2020,c(547236.583188444, 5283019.59773579),"Tree Canopy"
"37",399,38698,3399174466,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",18,7,2020,c(545289.362463755, 5284286.05918525),"Unclassified"
"38",408,39475,4127365487,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",26,5,2023,c(553181.240655744, 5278478.98068747),"Road"
"39",414,39961,4153514380,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea amputatrix","SPECIES","Washington","US","PRESENT",30,7,2022,c(547237.482623598, 5283019.71619268),"Tree Canopy"
