X.1,X,gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,stateProvince,countryCode,occurrenceStatus,day,month,year,geometry,,raster_label,longitude,latitude
56,710,3888830892,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SPECIES,California,US,PRESENT,8,8,2022,c(541886.832114741, 4187484.43513365),Unclassified,-122.523988,37.833824
57,725,3892450189,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,15,8,2022,c(550403.022236681, 4182873.7270239),Road,-122.427533,37.791838
244,2757,3124621634,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Occidryas,Occidryas chalcedona,SPECIES,California,US,PRESENT,22,5,2021,c(547737.658902038, 4183015.83606421),Grass/Shrub,-122.457795,37.793262
341,3838,2814283377,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,28,6,2020,c(548248.682985952, 4176532.63145227),Road,-122.452422,37.734803
347,3910,2860156373,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,Lon melane,SPECIES,California,US,PRESENT,2,9,2020,c(549878.649768726, 4178516.50722887),Building,-122.433788,37.752596
358,4014,3109068099,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,Callophrys viridis,SPECIES,California,US,PRESENT,26,4,2021,c(547791.841673219, 4182903.86587807),Grass/Shrub,-122.457187,37.79225
395,4573,3966647754,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione vanillae,SPECIES,California,US,PRESENT,9,11,2022,c(547811.812162063, 4182376.06698097),Road,-122.456995,37.787492
422,4842,4405198952,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa virginiensis,SPECIES,California,US,PRESENT,20,8,2023,c(547235.590960994, 4179211.477512),Road,-122.463745,37.759
481,5400,3986190490,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,Burnsius communis,SPECIES,California,US,PRESENT,25,7,2021,c(552439.864864351, 4179790.61500098),Grass/Shrub,-122.404623,37.763936
613,6862,4606948402,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SPECIES,California,US,PRESENT,31,3,2024,c(543492.818443467, 4187098.55999689),Unclassified,-122.505761,37.830271
655,7386,3399234319,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,27,10,2021,c(546395.592828111, 4182384.71839272),Road,-122.473078,37.787643
656,7424,3747065875,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,Callophrys viridis,SPECIES,California,US,PRESENT,18,3,2022,c(545895.356558353, 4183143.49421901),Grass/Shrub,-122.478711,37.794507
660,7444,3858275002,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,SPECIES,California,US,PRESENT,27,10,2021,c(551130.504971849, 4180998.76879925),Road,-122.419403,37.774899
732,8176,2634139145,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Batia,Batia lunaris,SPECIES,California,US,PRESENT,2,6,2020,c(550090.104594809, 4177932.40224029),Road,-122.431428,37.74732
733,8179,2641340940,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,6,6,2020,c(543821.003913876, 4181623.016711),Grass/Shrub,-122.502363,37.780905
747,8394,3061527632,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Occidryas,Occidryas chalcedona,SPECIES,California,US,PRESENT,12,3,2021,c(545915.97682856, 4182429.96118405),Grass/Shrub,-122.478522,37.788075
773,8676,3760382585,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio rutulus,SPECIES,California,US,PRESENT,19,4,2022,c(550382.812098003, 4183485.51320745),Tree Canopy,-122.42772,37.797353
879,9692,3321179870,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione vanillae,SPECIES,California,US,PRESENT,26,6,2021,c(553205.141444091, 4179584.04281741),Tree Canopy,-122.39595,37.76203
903,9917,3802298726,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Sabulodes,Sabulodes aegrotata,SPECIES,California,US,PRESENT,21,5,2022,c(551808.121778538, 4182690.94364035),Tree Canopy,-122.411588,37.790112
908,9961,3858756476,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,28,6,2022,c(548056.601281701, 4179840.44333228),Road,-122.454383,37.764626
925,10241,4116053247,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lophocampa,Lophocampa maculata,SPECIES,California,US,PRESENT,11,5,2023,c(546864.241774712, 4174693.94670476),Building,-122.468252,37.718303
947,10509,4440922562,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa annabella,SPECIES,California,US,PRESENT,12,11,2023,c(550321.098585673, 4174452.34020022),Tree Canopy,-122.429047,37.715942
955,10711,2823235058,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,28,6,2020,c(545246.697118318, 4178178.1185808),Road,-122.486388,37.749787
965,10843,3014029550,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,1,9,2020,c(551925.110965951, 4184747.10690977),Parking Lot,-122.410112,37.808637
1008,11289,3759899124,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,SPECIES,California,US,PRESENT,23,3,2022,c(544032.95048629, 4186660.17505756),Unclassified,-122.49965,37.826294
1016,11336,3802696234,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,Lon melane,SPECIES,California,US,PRESENT,22,5,2022,c(546127.941163043, 4183259.07579678),Grass/Shrub,-122.476062,37.795537
1086,12137,2850978910,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lophocampa,Lophocampa maculata,SPECIES,California,US,PRESENT,29,7,2020,c(548258.753151236, 4179027.23235687),Tree Canopy,-122.452142,37.757286
1180,13287,4430869401,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,Lon melane,SPECIES,California,US,PRESENT,26,4,2020,c(550083.063915883, 4177945.67380387),Road,-122.431507,37.74744
1203,13539,3112874423,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,SPECIES,California,US,PRESENT,2,5,2021,c(547605.718703699, 4182962.81302865),Grass/Shrub,-122.459297,37.792791
1284,14565,3499553321,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Eresia,Eresia aveyrona,SPECIES,California,US,PRESENT,25,6,2020,c(543878.607805975, 4188502.17101089),Unclassified,-122.501292,37.842903
1293,14691,2868258126,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,Burnsius communis,SPECIES,California,US,PRESENT,17,9,2020,c(550697.70812338, 4177494.19059878),Building,-122.424562,37.743337
1308,14803,3124869842,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Occidryas,Occidryas chalcedona,SPECIES,California,US,PRESENT,25,5,2021,c(546195.67207033, 4182360.29415261),Grass/Shrub,-122.47535,37.787433
1332,15025,3759851005,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,26,3,2022,c(547595.006251517, 4182790.21901402),Tree Canopy,-122.45943,37.791236
1355,15336,4054944102,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,5,3,2023,c(545417.842666864, 4181379.58471591),Tree Canopy,-122.484245,37.778633
1428,16317,3772417988,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Occidryas,Occidryas chalcedona,SPECIES,California,US,PRESENT,30,4,2022,c(545320.551178995, 4182687.95534163),Road,-122.485268,37.79043
1456,16665,4145349540,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,Burnsius communis,SPECIES,California,US,PRESENT,20,5,2023,c(551119.671046684, 4176282.74975204),Grass/Shrub,-122.419858,37.732395
1489,16929,4522724081,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,California,US,PRESENT,10,2,2024,c(546623.706147287, 4180586.24389602),Road,-122.470603,37.771422
1500,16996,2576474074,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Occidryas,Occidryas chalcedona,SPECIES,California,US,PRESENT,3,3,2020,c(546185.067384304, 4182335.71410654),Grass/Shrub,-122.475472,37.787212
1568,17830,4054734103,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,Nymphalis californica,SPECIES,California,US,PRESENT,5,3,2023,c(551691.445652429, 4182594.01313093),Tree Canopy,-122.41292,37.789245
1593,18092,4424592011,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,1,10,2023,c(543104.050541608, 4179174.41021752),Grass/Shrub,-122.51065,37.75887
1613,18254,2603377118,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,14,4,2020,c(549204.89997296, 4180197.38788155),Road,-122.441322,37.767782
1639,18541,3859348648,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Occidryas,Occidryas chalcedona,SPECIES,California,US,PRESENT,20,5,2021,c(547730.026530967, 4182935.1288691),Grass/Shrub,-122.457887,37.792535
1656,18807,3773752514,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SPECIES,California,US,PRESENT,1,5,2022,c(543910.463163982, 4188501.45355638),Unclassified,-122.50093,37.842895
1668,18936,3881589180,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha california,SUBSPECIES,California,US,PRESENT,29,7,2022,c(547897.96789403, 4182929.33621606),Grass/Shrub,-122.45598,37.792474
1673,19010,3925140647,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,Lon melane,SPECIES,California,US,PRESENT,17,9,2022,c(546184.990816856, 4181014.71195741),Building,-122.475557,37.775306
1726,19526,2611340675,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio rutulus,SPECIES,California,US,PRESENT,27,4,2020,c(549220.743799095, 4176953.22545662),Grass/Shrub,-122.441362,37.738542
1745,19755,3097007248,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione vanillae,SPECIES,California,US,PRESENT,19,4,2021,c(546876.948685469, 4180673.33642401),Tree Canopy,-122.467722,37.772194
1769,20037,3764150064,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SUBSPECIES,California,US,PRESENT,25,4,2022,c(544032.95048629, 4186660.17505756),Unclassified,-122.49965,37.826294
1811,20630,4442583847,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lophocampa,Lophocampa maculata,SPECIES,California,US,PRESENT,19,11,2023,c(546674.77417535, 4182639.71267549),Tree Canopy,-122.469891,37.789927
1832,20771,2802950842,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SPECIES,California,US,PRESENT,18,6,2020,c(551016.082899719, 4177116.69525957),Building,-122.420975,37.739917
1836,20890,2901553571,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,11,10,2020,c(543715.490161359, 4179036.72207867),Grass/Shrub,-122.503717,37.7576
1862,21379,3892647914,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,13,8,2022,c(551130.504971849, 4180998.76879925),Road,-122.419403,37.774899
1955,22422,3760137713,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,Lon melane,SPECIES,California,US,PRESENT,20,4,2022,c(548266.495788423, 4176455.06915982),Tree Canopy,-122.452225,37.734103
1982,22759,2883067386,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,Lon melane,SPECIES,California,US,PRESENT,24,5,2020,c(547703.396772199, 4179307.7048963),Tree Canopy,-122.458428,37.759843
2003,23010,3961360720,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus,SPECIES,California,US,PRESENT,25,10,2022,c(546566.639244983, 4182345.40818494),Grass/Shrub,-122.471138,37.78728
2006,23061,3986010398,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SUBSPECIES,California,US,PRESENT,23,7,2022,c(546468.790305124, 4180038.92787614),Tree Canopy,-122.472397,37.766497
2102,24030,3912192126,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,Dione vanillae,SPECIES,California,US,PRESENT,19,9,2022,c(541832.113955915, 4178628.18905813),Unclassified,-122.525121,37.754006
2136,24418,2803047979,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lophocampa,Lophocampa maculata,SPECIES,California,US,PRESENT,23,6,2020,c(546674.330310231, 4182453.97508219),Tree Canopy,-122.469908,37.788253
2146,24549,4420847997,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,California,US,PRESENT,27,9,2023,c(549053.507982482, 4181467.00856515),Road,-122.442955,37.779233
2152,24640,4440679314,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lophocampa,Lophocampa maculata,SPECIES,California,US,PRESENT,8,11,2023,c(548434.851377501, 4183668.32028917),Grass/Shrub,-122.449833,37.799106
2167,24842,3321248424,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SPECIES,California,US,PRESENT,29,6,2021,c(546552.667421597, 4180159.00805115),Grass/Shrub,-122.471437,37.767575
2195,25163,2988582448,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Icaricia,Icaricia icarioides,SUBSPECIES,California,US,PRESENT,3,4,2020,c(550901.077983251, 4177762.28515811),Road,-122.422235,37.745742
2208,25285,2802941929,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,SUBSPECIES,California,US,PRESENT,12,6,2020,c(549331.890984581, 4176711.23654875),Grass/Shrub,-122.440117,37.736355
2213,25385,3915365767,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,SPECIES,California,US,PRESENT,23,9,2022,c(548240.489472912, 4183813.19334927),Grass/Shrub,-122.452031,37.800422
2320,26563,3923388554,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes,Phyciodes tharos,SPECIES,California,US,PRESENT,3,10,2022,c(544027.495606924, 4187399.31538951),Unclassified,-122.499667,37.832956
2332,26687,4145459402,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia subapicata,SPECIES,California,US,PRESENT,10,5,2023,c(546950.220181038, 4180334.1279168),Building,-122.466912,37.769133
2350,26878,4177298339,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Battus,Battus philenor,SPECIES,California,US,PRESENT,5,5,2023,c(543830.889658678, 4176317.91466267),Tree Canopy,-122.502571,37.73309
2353,26899,4177203006,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae,SPECIES,California,US,PRESENT,5,8,2023,c(546673.136406633, 4180131.61863843),Tree Canopy,-122.470071,37.767322
2360,27014,4414028341,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,SPECIES,California,US,PRESENT,18,9,2023,c(547677.995599324, 4183891.68780734),Road,-122.458415,37.801159
2378,27264,4600119855,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,Callophrys viridis,SPECIES,California,US,PRESENT,25,3,2024,c(547780.678580122, 4182900.58343421),Grass/Shrub,-122.457314,37.792221
2383,27304,3118313708,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Burnsius,Burnsius communis,SPECIES,California,US,PRESENT,20,5,2021,c(549257.334695003, 4177126.1968678),Grass/Shrub,-122.440935,37.740099
