id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
113338040,2022-04-29 00:39:49,2022-04-29,2022-04-29 07:39:49 UTC,Pacific Time (US & Canada),421748,sara_medina,Sara Cristina Medina,2022-04-29 08:14:42 UTC,2022-04-29 08:14:51 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/113338040,https://inaturalist-open-data.s3.amazonaws.com/photos/191507398/medium.jpeg,,"",,0,0,false,2,"South Gate, CA 90280, USA",33.9497866,-118.1844834,,,,,,,,false,gps,gps,,Los Angeles,California,United States,Indian-Meal Moth,Plodia interpunctella,Indian-Meal Moth,Insecta,124184
113419665,2022-04-29 07:41:19,2022-04-29,2022-04-29 14:41:19 UTC,Pacific Time (US & Canada),670162,zombie_botani,Arely,2022-04-29 14:50:28 UTC,2022-04-30 20:39:21 UTC,research,,https://www.inaturalist.org/observations/113419665,https://static.inaturalist.org/photos/191625523/medium.jpeg,,"",,1,0,false,2,"Blair Hills, Culver City, CA, USA",34.0169899997,-118.3843422,,,,,,,,false,gps,gps,,Los Angeles,California,United States,Everlasting Bud Moth,Eublemma minima,Everlasting Bud Moth,Insecta,219600
113468729,2022-04-29 10:06:26,2022-04-29,2022-04-29 17:06:26 UTC,Pacific Time (US & Canada),679426,canyonspirit,Sherry Mangel-Ferber,2022-04-29 17:06:43 UTC,2022-07-10 13:01:45 UTC,needs_id,,https://www.inaturalist.org/observations/113468729,https://static.inaturalist.org/photos/191698961/medium.jpeg,,"",,0,0,false,2,"Oak Park, CA 91301, USA",34.13923278,-118.72476962,5,,,,5,,,false,,,,Los Angeles,California,United States,,Lepidoptera,Butterflies and Moths,Insecta,47157
113469223,2022-04-29 10:06:49-07:00,2022-04-29,2022-04-29 17:06:49 UTC,Pacific Time (US & Canada),403933,stevek12,Steven Kusnitz,2022-04-29 17:08:31 UTC,2024-02-23 22:14:27 UTC,needs_id,,https://www.inaturalist.org/observations/113469223,https://static.inaturalist.org/photos/191708455/medium.jpg,,"","",0,0,false,3,"Santa Monica Mountains National Recreation Area, Agoura Hills, CA, US",34.1392695,-118.72473,4,,,,4,,,false,,,,Los Angeles,California,United States,"",Lithosiini,Lichen Moths,Insecta,82092
113471277,2022-04-29 10:12:34,2022-04-29,2022-04-29 17:12:34 UTC,Pacific Time (US & Canada),90080,thewondernebula,"",2022-04-29 17:14:54 UTC,2022-04-30 18:16:22 UTC,needs_id,,https://www.inaturalist.org/observations/113471277,https://static.inaturalist.org/photos/191703248/medium.jpeg,,"",,1,0,false,2,"Lawndale, CA, USA",33.887934,-118.3483039722,,,,,,,,false,gps,gps,,Los Angeles,California,United States,Subterranean Dart,Feltia subterranea,Subterranean Dart,Insecta,152979
113472830,2022-04-29 08:26:46-07:00,2022-04-29,2022-04-29 15:26:46 UTC,Pacific Time (US & Canada),452969,snappysteffi,Stephanie Klem,2022-04-29 17:19:01 UTC,2024-03-12 14:46:11 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/113472830,https://inaturalist-open-data.s3.amazonaws.com/photos/191705653/medium.jpg,,"","",2,0,false,3,"S San Dimas Ave, San Dimas, CA, US",34.0807721667,-117.818305,46,,,,46,,,false,,,,Los Angeles,California,United States,Cutworm Moths and Allies,Noctuidae,Cutworm Moths and Allies,Insecta,48670
113478001,2022-04-29 10:32:10-07:00,2022-04-29,2022-04-29 17:32:10 UTC,Pacific Time (US & Canada),3586703,tularosatabulator,Connor Keeney,2022-04-29 17:32:46 UTC,2022-04-30 18:14:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113478001,https://inaturalist-open-data.s3.amazonaws.com/photos/191713717/medium.jpg,,"","",1,0,false,3,"W Baseline Rd, Claremont, CA, US",34.1235861667,-117.739175,35,,,,35,,,false,,,,Los Angeles,California,United States,Creaky Dart,Hemieuxoa rudens,Creaky Dart,Insecta,319557
113481720,2022-04-29 10:39:23-07:00,2022-04-29,2022-04-29 17:39:23 UTC,Pacific Time (US & Canada),22931,dfeldman,,2022-04-29 17:43:16 UTC,2022-04-29 23:27:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113481720,https://inaturalist-open-data.s3.amazonaws.com/photos/191719512/medium.jpg,,"","",2,0,false,3,"Hancock Park La Brea, Los Angeles, CA, US",34.06422674,-118.3566034879,4,,,,4,,open,false,,,,Los Angeles,California,United States,Pipevine Swallowtail,Battus philenor,Pipevine Swallowtail,Insecta,49972
113488323,2022-04-29 10:23:09,2022-04-29,2022-04-29 17:23:09 UTC,Pacific Time (US & Canada),1106795,caltowhee,Laura Helm,2022-04-29 18:02:23 UTC,2023-10-24 16:49:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113488323,https://inaturalist-open-data.s3.amazonaws.com/photos/191729746/medium.jpeg,,"",,1,0,false,2,"Los Angeles County, US-CA, US",33.6870264217,-118.2837038666,7,,,,28930,obscured,,true,gps,gps,,Los Angeles,California,United States,Monarch,Danaus plexippus,Monarch,Insecta,48662
113493181,2022-04-29 10:00:00-07:00,2022-04-29,2022-04-29 17:00:00 UTC,Pacific Time (US & Canada),5584526,parisvaldez,,2022-04-29 18:15:31 UTC,2023-10-24 16:49:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/113493181,https://inaturalist-open-data.s3.amazonaws.com/photos/191737503/medium.jpg,,"","",2,0,false,3,"Alumni Park, Los Angeles, CA, US",34.0204695,-118.284425,5,,,,5,,,false,,,,Los Angeles,California,United States,Monarch,Danaus plexippus,Monarch,Insecta,48662
